timestamp,temperature,humidity,pressure,bboxes
1728896907,22.290001,0.000000,101399.046875,
1728896917,22.260000,0.000000,101398.734375,
1728896927,22.240000,0.000000,101402.289062,
1728896937,22.200001,0.000000,101403.445312,
1728896947,22.180000,0.000000,101407.953125,
1728896957,22.150000,0.000000,101403.945312,
1728896967,22.120001,0.000000,101403.875000,
1728896977,22.120001,0.000000,101404.820312,
1728896987,22.100000,0.000000,101406.750000,
1728896997,22.090000,0.000000,101402.718750,
1728897007,22.080000,0.000000,101407.078125,
1728897017,22.049999,0.000000,101407.398438,
1728897027,22.049999,0.000000,101407.000000,
1728897037,22.030001,0.000000,101407.976562,
1728897047,22.020000,0.000000,101411.101562,
1728897057,22.000000,0.000000,101406.914062,
1728897067,22.000000,0.000000,101407.187500,
1728897077,22.000000,0.000000,101407.992188,
1728897087,21.990000,0.000000,101404.640625,
1728897097,21.990000,0.000000,101404.906250,
1728897107,21.980000,0.000000,101403.304688,
1728897117,21.969999,0.000000,101403.859375,
1728897127,21.969999,0.000000,101406.718750,
1728897137,21.969999,0.000000,101404.406250,
1728897147,21.959999,0.000000,101409.562500,
1728897157,21.969999,0.000000,101406.843750,
1728897167,21.969999,0.000000,101401.984375,
1728897177,21.959999,0.000000,101405.640625,
1728897187,21.959999,0.000000,101404.281250,
1728897197,21.980000,0.000000,101406.968750,
1728897207,21.980000,0.000000,101408.164062,
1728897217,21.980000,0.000000,101406.414062,
1728897227,21.980000,0.000000,101406.812500,
1728897237,21.980000,0.000000,101406.281250,
1728897247,21.980000,0.000000,101406.687500,
1728897257,21.980000,0.000000,101405.062500,
1728897267,21.980000,0.000000,101406.281250,
1728897277,21.980000,0.000000,101408.718750,
1728897287,21.969999,0.000000,101408.593750,
1728897297,21.969999,0.000000,101408.742188,
1728897307,21.969999,0.000000,101407.109375,
1728897317,21.969999,0.000000,101405.765625,
1728897327,21.969999,0.000000,101406.562500,
1728897337,21.980000,0.000000,101402.625000,
1728897347,21.969999,0.000000,101405.484375,
1728897357,21.980000,0.000000,101402.234375,
1728897367,22.000000,0.000000,101407.187500,
1728897377,21.990000,0.000000,101406.664062,
1728897387,22.000000,0.000000,101409.625000,
1728897397,22.000000,0.000000,101407.468750,
1728897407,22.000000,0.000000,101406.789062,
1728897417,21.990000,0.000000,101407.742188,
1728897427,21.990000,0.000000,101398.828125,
1728897437,21.980000,0.000000,101400.328125,
1728897447,21.969999,0.000000,101401.156250,
1728897457,21.980000,0.000000,101404.257812,
1728897467,21.969999,0.000000,101405.210938,
1728897477,21.980000,0.000000,101401.406250,
1728897487,21.969999,0.000000,101406.562500,
1728897497,21.980000,0.000000,101406.140625,
1728897507,21.990000,0.000000,101411.125000,
1728897517,22.000000,0.000000,101408.140625,
1728897527,22.010000,0.000000,101408.148438,
1728897537,22.010000,0.000000,101406.250000,
1728897547,22.020000,0.000000,101409.078125,
1728897557,22.030001,0.000000,101405.140625,
1728897567,22.020000,0.000000,101405.421875,
1728897577,22.020000,0.000000,101402.718750,
1728897587,22.010000,0.000000,101408.546875,
1728897597,22.020000,0.000000,101405.968750,
1728897607,22.010000,0.000000,101406.921875,
1728897617,22.020000,0.000000,101408.125000,
1728897627,22.000000,0.000000,101407.312500,
1728897637,22.000000,0.000000,101402.578125,
1728897647,22.010000,0.000000,101400.953125,
1728897657,22.010000,0.000000,101402.304688,
1728897667,22.010000,0.000000,101402.062500,
1728897677,22.010000,0.000000,101400.953125,
1728897687,22.010000,0.000000,101403.414062,
1728897697,22.020000,0.000000,101400.562500,
1728897707,22.020000,0.000000,101401.234375,
1728897717,22.020000,0.000000,101402.031250,
1728897727,22.030001,0.000000,101407.296875,
1728897737,22.020000,0.000000,101409.078125,
1728897747,22.010000,0.000000,101401.515625,
1728897757,22.000000,0.000000,101401.500000,
1728897767,22.000000,0.000000,101403.406250,
1728897777,21.990000,0.000000,101405.984375,
